Video Title,Comment,English_Translation,Processed_Comment,Tokenized_POS,Polarity,Aspect_Sentiment
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Government needs to ban Rohan from roasting. MF is too brutal ☠️.,Government needs to ban rohan from roasting.MF is too brutal ☠️.,government need ban rohan roasting mf brutal,"[('government', 'NOUN'), ('need', 'VERB'), ('ban', 'NOUN'), ('rohan', 'PROPN'), ('roasting', 'VERB'), ('mf', 'PROPN'), ('brutal', 'NOUN')]",-0.8271,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,rohan ke script pe hasna kaha tha?,Said Rohan's script?,said rohan script,"[('said', 'VERB'), ('rohan', 'PROPN'), ('script', 'PROPN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,we want cpl s2,We want cpl s2,want cpl,"[('want', 'VERB'), ('cpl', 'NOUN')]",0.0772,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Demn Netflix India is milking all youtubers.,DEMN Netflix India is Milking All YouTubers.,demn netflix india milking youtubers,"[('demn', 'VERB'), ('netflix', 'PROPN'), ('india', 'PROPN'), ('milking', 'VERB'), ('youtubers', 'NOUN')]",0,"{'Aspect': ['netflix'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan is sooo skilled in Roasting ❤,Rohan is so skilled in roasting ❤,rohan skilled roasting,"[('rohan', 'PROPN'), ('skilled', 'ADJ'), ('roasting', 'NOUN')]",0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Comedy premium league next season kab aayega??????,When will the comedy premium league next season come ??????,comedy premium league next season come,"[('comedy', 'NOUN'), ('premium', 'PROPN'), ('league', 'NOUN'), ('next', 'ADJ'), ('season', 'NOUN'), ('come', 'VERB')]",0.3612,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Why the girls look so pissed,Why the girls look so pissed,girl look pissed,"[('girl', 'NOUN'), ('look', 'VERB'), ('pissed', 'ADJ')]",-0.6369,"{'Aspect': ['girl'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Rohan Joshi killed it bro!!!,Rohan Joshi Killed It Bro !!!,rohan joshi killed bro,"[('rohan', 'PROPN'), ('joshi', 'PROPN'), ('killed', 'VERB'), ('bro', 'PROPN')]",-0.6705,"{'Aspect': ['rohan'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,tanmay op in the chat,tanmay op in the chat,tanmay op chat,"[('tanmay', 'VERB'), ('op', 'NOUN'), ('chat', 'VERB')]",0,"{'Aspect': ['chat'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Tanmay ate this one, left no crumbs, lost the weight, got fit","Tanmay ate this one, left no crumbs, lost the weight, got fit",tanmay ate one left crumb lost weight got fit,"[('tanmay', 'PROPN'), ('ate', 'VERB'), ('one', 'NUM'), ('left', 'VERB'), ('crumb', 'NOUN'), ('lost', 'VERB'), ('weight', 'NOUN'), ('got', 'VERB'), ('fit', 'ADJ')]",0.0516,"{'Aspect': ['tanmay'], 'Sentiment': ['Negative']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,I've seen this on Netflix... But I can watch ROJO roasting any given day..,I've seen this on netflix ... but I can watch rojo roasting any given day ..,seen netflix watch rojo roasting given day,"[('seen', 'VERB'), ('netflix', 'PROPN'), ('watch', 'VERB'), ('rojo', 'NOUN'), ('roasting', 'NOUN'), ('given', 'VERB'), ('day', 'NOUN')]",0,"{'Aspect': ['netflix'], 'Sentiment': ['Neutral']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Nahi hai yaar inn logo ke bas ki baat abb,"It is not a matter of people, Abb",matter people abb,"[('matter', 'VERB'), ('people', 'NOUN'), ('abb', 'VERB')]",0.0258,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Nice Tanmay bhatt,Nice Tanmay Bhatt,nice tanmay bhatt,"[('nice', 'ADJ'), ('tanmay', 'PROPN'), ('bhatt', 'PROPN')]",0.4215,"{'Aspect': ['tanmay'], 'Sentiment': ['Positive']}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,hasna tha ?,Was laughing?,laughing,"[('laughing', 'VERB')]",0.4939,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Like me,Like me,like,"[('like', 'INTJ')]",0.3612,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,New Season Kab Aayega yaar ?? ❤,,,[],0,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,"Dono lukkhe comedians think they are the best and the coolest comics of this country.
Public says aaa thooo!","Dono Lukkhe Comedians Think they are the best and the coolest Comics of this country.
Public Says Aaa Thooo!",dono lukkhe comedian think best coolest comic country public say aaa thooo,"[('dono', 'PROPN'), ('lukkhe', 'ADJ'), ('comedian', 'NOUN'), ('think', 'VERB'), ('best', 'ADJ'), ('coolest', 'ADJ'), ('comic', 'ADJ'), ('country', 'NOUN'), ('public', 'NOUN'), ('say', 'VERB'), ('aaa', 'PROPN'), ('thooo', 'NOUN')]",0.7783,"{'Aspect': [], 'Sentiment': []}"
Rohan Joshi & Tanmay Bhat's EPIC ROAST BATTLE in #ComedyPremiumLeague! 😳🔥| Netflix India,Mast Video Hai Bhai 😊,Mast video hai bhai 😊,mast video hai bhai,"[('mast', 'ADJ'), ('video', 'PROPN'), ('hai', 'PROPN'), ('bhai', 'PROPN')]",0,"{'Aspect': ['video'], 'Sentiment': ['Positive']}"
